model,dataset,term,estimate,se,stat,df,pval,ci_lb,ci_ub,pct_change,pct_change_lb,pct_change_ub
Overall,full,intrcpt,0.022999443252916946,0.022170925800735847,1.0373695469295017,215,0.300728953698053,-0.020700762292771638,0.06669964879860553,2.326596984671503,-2.04879723471324,6.897436221928022
Overall (S004 removed),sens,intrcpt,0.03896909684481324,0.01672186823945635,2.3304272158336405,179,0.020898378872613404,0.00597174338391291,0.07196645030571358,3.973835195803077,0.5989609790260308,7.461929031035663
feeding behaviour,sens,intrcpt,0.07448902168979743,0.037991167161390726,1.960693162528009,18,0.06557718414511383,-0.005327458734049925,0.1543055021136448,7.733351615580086,-0.531329299273331,16.684730665063775
Growth performance,sens,intrcpt,0.03376800295937263,0.013733910461601165,2.4587318414362076,108,0.015531264897130512,0.006545009820264215,0.06099099609848104,3.434461400095601,0.6566475201862376,6.288934399313195
Nutrient utilisation,sens,intrcpt,0.009761797540495972,0.06030323294372631,0.16187851071940823,51,0.8720411599077422,-0.11130199421490422,0.13082558929589616,0.9809599303202132,-10.533147659051368,13.976897606598149
Nutrient utilisation (PD/ED removed),sens,intrcpt,0.0058295430565911514,0.06361023347506226,0.09164473604512967,39,0.927449428123425,-0.12283429861483568,0.13449338472801797,0.584656790900806,-11.558980158518061,14.395709139006918
