model,dataset,term,estimate,se,stat,df,pval,ci_lb,ci_ub,pct_change,pct_change_lb,pct_change_ub
"Dose + dose^2 (unscaled, bubble plot)",sens,intervention_dose_raw,-0.013829864,0.00328037,-4.215946224,177,3.96E-05,-0.020303534,-0.007356194,-1.373467102,-2.009880555,-0.732920353
"Dose + dose^2 (unscaled, bubble plot)",sens,I(intervention_dose_raw^2),3.87E-04,1.18E-04,3.269789029,177,0.001293404,1.53E-04,6.20E-04,0.038675798,0.015331514,0.062025531
Dose + dose^2 + duration (overall),sens,study_duration_days,-0.010418117,0.009377863,-1.110926573,177,0.268106777,-0.028924929,0.008088694,-1.036403668,-2.851060731,0.8121496
Dose + dose^2 + duration (overall),sens,intervention_dose,-0.058265794,0.009821454,-5.932501846,177,1.53E-08,-0.077648013,-0.038883575,-5.660083585,-7.470994098,-3.813731246
Dose + dose^2 + duration (overall),sens,intervention_dose2,0.031050698,0.00669238,4.639709662,177,6.77E-06,0.017843573,0.044257823,3.153779959,1.800372115,4.525180986
Dose + dose^2 + duration (feed behaviour),sens,study_duration_days,0.067918692,0.069823139,0.972724692,16,0.345167391,-0.080099751,0.215937134,7.027828225,-7.697573098,24.10243586
Dose + dose^2 + duration (feed behaviour),sens,intervention_dose,0.126440704,0.051177645,2.470623728,16,0.025113323,0.017948943,0.234932465,13.47821611,1.811099359,26.48233457
Dose + dose^2 + duration (feed behaviour),sens,intervention_dose2,-0.043617393,0.034051324,-1.280930922,16,0.21847413,-0.115802975,0.028568188,-4.267983557,-10.93493134,2.89801726
Dose + dose^2 + duration (growth performance),sens,study_duration_days,-0.001453945,0.009958256,-0.146004023,106,0.884195509,-0.021197156,0.018289265,-0.145288894,-2.097407534,1.845753814
Dose + dose^2 + duration (growth performance),sens,intervention_dose,-0.0374939,0.009236591,-4.059279163,106,9.44E-05,-0.05580634,-0.019181461,-3.679970707,-5.427773309,-1.899866721
Dose + dose^2 + duration (growth performance),sens,intervention_dose2,0.022938164,0.00692191,3.313848976,106,0.001259846,0.009214804,0.036661523,2.320326661,0.925739135,3.734184537
Dose + dose^2 + duration (nutrient utilisation),sens,study_duration_days,-0.089388584,0.072441855,-1.233935593,49,0.223112706,-0.234965942,0.056188775,-8.550985131,-20.94022246,5.779735035
Dose + dose^2 + duration (nutrient utilisation),sens,intervention_dose,-0.148372535,0.023168445,-6.404078143,49,5.56E-08,-0.194931269,-0.101813801,-13.78901111,-17.7108786,-9.680228933
Dose + dose^2 + duration (nutrient utilisation),sens,intervention_dose2,0.144759794,0.028432562,5.091338357,49,5.65E-06,0.087622421,0.201897166,15.57619156,9.157588814,22.37221617
Dose + dose^2 + initial size (overall),sens,intervention_dose,-0.058982293,0.009823619,-6.004130854,177,1.06E-08,-0.078368785,-0.039595802,-5.72765385,-7.537662339,-3.882213306
Dose + dose^2 + initial size (overall),sens,initial_size_g,-0.007340208,0.008982016,-0.817211662,177,0.414906104,-0.025065831,0.010385415,-0.731333436,-2.475429174,1.043953108
Dose + dose^2 + initial size (overall),sens,intervention_dose2,0.032312063,0.006471589,4.992910459,177,1.42E-06,0.01954066,0.045083466,3.283976619,1.973282804,4.611517183
Dose + dose^2 + initial size (feed behaviour),sens,intervention_dose,0.146402435,0.051716848,2.83084602,16,0.012048951,0.036767614,0.256037256,15.76619777,3.745190305,29.18008542
Dose + dose^2 + initial size (feed behaviour),sens,initial_size_g,0.077378605,0.046925546,1.648965472,16,0.118647171,-0.022099109,0.176856319,8.045106353,-2.185671215,19.34596037
Dose + dose^2 + initial size (feed behaviour),sens,intervention_dose2,-0.057943016,0.031737824,-1.825677031,16,0.086621168,-0.125224198,0.009338165,-5.629627839,-11.7700929,0.938190169
Dose + dose^2 + initial size (growth performance),sens,intervention_dose,-0.037932544,0.009075546,-4.179643261,106,6.02E-05,-0.055925696,-0.019939392,-3.722211587,-5.439060405,-1.974191654
Dose + dose^2 + initial size (growth performance),sens,initial_size_g,-0.00497155,0.009709421,-0.51203364,106,0.609692629,-0.024221421,0.014278321,-0.495921236,-2.393043657,1.438074309
Dose + dose^2 + initial size (growth performance),sens,intervention_dose2,0.022629835,0.006602192,3.427624681,106,8.68E-04,0.009540348,0.035719322,2.288783184,0.958600199,3.636492034
Dose + dose^2 + initial size (nutrient utilisation),sens,intervention_dose,-0.152093898,0.023227367,-6.548047321,49,3.33E-08,-0.19877104,-0.105416757,-14.10923728,-18.02624407,-10.00506154
Dose + dose^2 + initial size (nutrient utilisation),sens,initial_size_g,-0.036472134,0.048622427,-0.750109288,49,0.456775646,-0.13418256,0.061238292,-3.581503878,-12.55695861,6.315222418
Dose + dose^2 + initial size (nutrient utilisation),sens,intervention_dose2,0.149748528,0.02845751,5.262179523,49,3.13E-06,0.09256102,0.206936036,16.15421107,9.698007723,22.99038997
