model,dataset,k,n_levels,n_coef,sigma2_1,sigma2_2,sigma2_3,I2_total,R2_marginal,QE,QE_pval,QM,QM_pval,logLik,AIC,BIC
Overall,full,216,11/216,1,0.004094308924836615,0.008411730328151474,NA,55.273951912665666,0,3339.9315266749627,0,1.0761355768967193,0.30072895369805314,135.09544474157897,-264.19088948315795,-254.07897539877496
Overall (S004 removed),sens,180,10/180,1,0.0016593734589520977,0.00862344909175477,NA,47.921072970111446,0,2424.4614437927526,0,5.430891008298132,0.020898378872613414,114.4565123237075,-222.913024647415,-213.35086722989274
Feed behaviour,sens,19,6/19,1,0.0012499954984913242,0.019835194000487433,NA,86.36343387310407,0,691.6392904060773,3.371689840787386e-135,3.8443176775840855,0.06557718414511388,8.721748819180707,-11.443497638361414,-8.772382364672922
Growth performance,sens,109,8/109,1,9.760272416720101e-4,0.0027696434075702736,NA,27.322150058155536,0,821.9742366228029,2.9669868724984155e-110,6.045362268092285,0.015531264897130508,113.87487263777699,-221.74974527555398,-213.70335159418133
Nutrient utilisation,sens,52,6/52,1,0.019526724932647954,0.00992354349208331,NA,63.97885734638125,0,796.8644973831788,1.620837056079029e-134,0.026204652232733574,0.8720411599077422,22.73933918032608,-39.47867836065216,-33.68320146247918
Nutrient utilisation (PD/ED removed),sens,40,6/40,1,0.019429729332420157,0.018736931989208606,NA,64.14553789469652,0,654.3057384953902,1.0581285390409586e-112,0.008398757644781488,0.927449428123425,9.513949804337098,-13.027899608674197,-8.037214670285259
